Date,Time,Location,Age,Gender,Division,Home Team,Away Team,,Pending reschedules:
2/21/2026,09:00 EST,SCC30,16,Female,15/16U Girls D2,PSJ United 2010 U16 Girls,OPSS-Seminole 2010G Elite,,
2/21/2026,12:30 EST,SCC02,10,Male,10U Boys Local East,PSJ United 2016 U10 CC,BSA 2016B Alliance,,
2/21/2026,13:30 EST,SCC02,9,Male,9U Boys Local East,PSJ United 2017 U9 CC,SCSC 2017B,,
,,,,,,,,,
2/28/2026,15:00 EST,SCC21,12,Female,12U Girls D2,PSJ United 2014 U12 Girls,Stetson FA 2014 Girls,,
,,,,,,,,,
3/7/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
3/7/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
3/7/2026,09:00 EST,SCC30,14,Male,U14 Male Group 2,PSJ United 2012 - U14 CR1,U14 VRP1 GONGORA Space Coast Rec S26,,
3/7/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 1,Team 2,,
3/7/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 3,Team 4,,
3/7/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 5,Team 6,,
3/7/2026,11:00 EST,SCC30,19,Male,19U Boys D2,PSJ United 2008 U18 CC,Clermont FC 08 Boys White,,
3/7/2026,11:00 EST,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 1,U10 WKM2 DENSLER Space Coast Rec S26,,
3/7/2026,12:15 EST,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 4,U10 WKM1 Space Coast Rec S26,,
3/7/2026,13:00 EST,SCC30,15,Male,15U Boys D3,PSJ United 2011 U15 CC,FDFC 2011B Black,,
3/7/2026,13:30 EST,SCC01,10,Male,10U Boys Local East,PSJ United 2016 U10 CC,PSG Orlando U10 Golden,,
3/7/2026,15:00 EST,SCC21,12,Male,12U Boys D2,PSJ United 2014 U12 CC,CFU U12 Boys,,
3/7/2026,16:30 EST,SCC21,12,Female,12U Girls D2,PSJ United 2014 U12 Girls,Winter Park 2014 Girls Premier,,
,,,,,,,,,
3/8/2026,13:00 EDT,SCC21,12,Male,12U Boys D2,PSJ United 2014 U12 CC,Winter Park 2014 Boys Select Black,,
,,,,,,,,,
3/14/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
3/14/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
3/14/2026,09:00 EDT,SCC30,19,Male,19U Boys D2,PSJ United 2008 U18 CC,HCSC 2008 Yellow,,
3/14/2026,09:00 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 2,U10 VRP3 ORDONEZ Space Coast Rec S26,,
3/14/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 2,Team 3,,
3/14/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 4,Team 5,,
3/14/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 6,Team 1,,
3/14/2026,11:00 EDT,SCC30,16,Female,15/16U Girls D2,PSJ United 2010 U16 Girls,FCFC 2011 GIRLS RED,,
3/14/2026,11:30 EDT,SCC01,10,Male,10U Boys Local East,PSJ United 2016 U10 CC,IYSA FORCE BOYS 2016 WHITE,,
3/14/2026,15:00 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR1 Spring 2026,CBS U12 Team 2,,
3/14/2026,16:30 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR2 ENERGY,MRP 1201,,
,,,,,,,,,
3/15/2026,14:30 EDT,SCC21,12,Male,12U Boys D2,PSJ United 2014 U12 CC,IdeaSport 2014 Pro,,
,,,,,,,,,
3/21/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
3/21/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
3/21/2026,09:00 EDT,SCC21,12,Male,U12 Male Group 4,PSJ United 2014 - U12 CR3,1204 Titusville,,
3/21/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 2,Team 4,,
3/21/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 6,Team 3,,
3/21/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 1,Team 5,,
3/21/2026,10:30 EDT,SCC21,11,Male,BU11 Central Flight 2,PSJ United 2015 - U11 CC,Brevard Beachside Impact 2015B-Green,,
3/21/2026,11:30 EDT,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 4,Spring 2026 CBS U10 Team 3,,
3/21/2026,12:00 EDT,SCC30,14,Male,U14 Male Group 2,PSJ United 2012 - U14 CR1,FORCE BOYS 2012 BLUE O'Nell,,
3/21/2026,12:45 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 1,Spring 2026 CBS U10 Team 4,,
3/21/2026,13:45 EDT,SCC30,16,Female,15/16U Girls D2,PSJ United 2010 U16 Girls,BSA 2010G Elite,,
3/21/2026,14:00 EDT,SCC01,9,Male,9U Boys Local East,PSJ United 2017 U9 CC,IRSA 2017 BOYS,,
3/21/2026,15:45 EDT,SCC30,15,Male,15U Boys D3,PSJ United 2011 U15 CC,Clermont FC 11 Boys Red,,
,,,,,,,,,
3/28/2026,10:30 EDT,SCC21,11,Male,BU11 Central Flight 2,PSJ United 2015 - U11 CC,2015B Black,,
,,,,,,,,,
3/29/2026,14:30 EDT,SCC21,12,Female,12U Girls D2,PSJ United 2014 U12 Girls,Inter-United 2014/2015 Girls PC,,
,,,,,,,,,
4/4/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
4/4/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
4/4/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 4,Team 1,,
4/4/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 2,Team 6,,
4/4/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 3,Team 5,,
,,,,,,,,,
4/11/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
4/11/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
4/11/2026,09:00 EDT,SCC01,10,Male,10U Boys Local East,PSJ United 2016 U10 CC,East Orlando Knights 2016B Gold,,
4/11/2026,09:00 EDT,SCC21,11,Male,BU11 Central Flight 2,PSJ United 2015 - U11 CC,2015B Elite,,
4/11/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 3,Team 1,,
4/11/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 5,Team 2,,
4/11/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 6,Team 4,,
4/11/2026,10:15 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 1,U10 VRP3 ORDONEZ Space Coast Rec S26,,
4/11/2026,10:30 EDT,SCC21,12,Male,12U Boys D2,PSJ United 2014 U12 CC,Port Orange 2014 Boys,,
4/11/2026,11:30 EDT,SCC01,9,Male,9U Boys Local East,PSJ United 2017 U9 CC,DC Sports 2017/2018,,
4/11/2026,12:00 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR2 ENERGY,Spring 2026 CBS U12 Team 2,,
4/11/2026,12:45 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 2,Spring 2026 CBS U10 Team 2,,
